gemeente_code,year,gemeente_name,province,area_km2,centroid_lat,centroid_lon,population,population_density_km2,accident_count,fatal_count,serious_injury_count,weather_mean_temp_mean_c,weather_mean_temp_min_c,weather_mean_temp_max_c,weather_mean_humidity_pct,weather_mean_pressure_hpa,weather_annual_precip_mm,weather_annual_sunshine_hours,km_cycleway,km_track,km_lane,km_total,bicycle_parking_count
GM0088,2016,Schiermonnikoog,Fryslân,42.92,53.491173,6.22734,972,23.0,0,0,0,10.63,8.05,13.31,82.4,,708.3,1852.3,28.158,0.0,2.129,30.287,17
GM0088,2017,Schiermonnikoog,Fryslân,42.92,53.491173,6.22734,972,23.0,0,0,0,10.75,8.12,13.49,82.21,,986.4,1733.9,28.158,0.0,2.129,30.287,17
GM0088,2018,Schiermonnikoog,Fryslân,42.92,53.491173,6.22734,972,23.0,0,0,0,11.0,8.21,14.05,80.95,,620.0,2018.0,28.158,0.0,2.129,30.287,17
GM0088,2019,Schiermonnikoog,Fryslân,42.92,53.491173,6.22734,972,23.0,0,0,0,11.06,8.39,13.97,81.03,,774.8,1888.2,28.158,0.0,2.129,30.287,17
GM0088,2020,Schiermonnikoog,Fryslân,42.92,53.491173,6.22734,972,23.0,0,0,0,11.31,8.63,14.06,82.03,,903.1,1996.1,28.158,0.0,2.129,30.287,17
GM0088,2021,Schiermonnikoog,Fryslân,42.92,53.491173,6.22734,972,23.0,0,0,0,10.36,7.98,12.94,83.37,,850.3,1780.5,28.158,0.0,2.129,30.287,17
GM0088,2022,Schiermonnikoog,Fryslân,42.92,53.491173,6.22734,972,23.0,2,0,0,11.43,8.59,14.39,79.82,,790.4,2217.0,28.158,0.0,2.129,30.287,17
GM0088,2023,Schiermonnikoog,Fryslân,42.92,53.491173,6.22734,972,23.0,1,0,0,11.43,8.94,14.05,82.13,,981.7,1947.8,28.158,0.0,2.129,30.287,17
GM0088,2024,Schiermonnikoog,Fryslân,42.92,53.491173,6.22734,972,23.0,2,0,0,11.71,9.07,14.38,81.7,,1015.4,1762.5,28.158,0.0,2.129,30.287,17
GM0090,2015,Smallingerland,Fryslân,126.15,53.113453,6.038973,56661,484.0,0,0,0,,,,,,,,110.585,0.425,6.629,117.64,25
GM0090,2016,Smallingerland,Fryslân,126.15,53.113453,6.038973,56661,484.0,0,0,0,,,,,,,,110.585,0.425,6.629,117.64,25
GM0090,2017,Smallingerland,Fryslân,126.15,53.113453,6.038973,56661,484.0,0,0,0,,,,,,,,110.585,0.425,6.629,117.64,25
GM0090,2018,Smallingerland,Fryslân,126.15,53.113453,6.038973,56661,484.0,0,0,0,,,,,,,,110.585,0.425,6.629,117.64,25
GM0090,2019,Smallingerland,Fryslân,126.15,53.113453,6.038973,56661,484.0,0,0,0,,,,,,,,110.585,0.425,6.629,117.64,25
GM0090,2020,Smallingerland,Fryslân,126.15,53.113453,6.038973,56661,484.0,0,0,0,,,,,,,,110.585,0.425,6.629,117.64,25
GM0090,2021,Smallingerland,Fryslân,126.15,53.113453,6.038973,56661,484.0,0,0,0,,,,,,,,110.585,0.425,6.629,117.64,25
GM0090,2022,Smallingerland,Fryslân,126.15,53.113453,6.038973,56661,484.0,37,0,0,,,,,,,,110.585,0.425,6.629,117.64,25
GM0090,2023,Smallingerland,Fryslân,126.15,53.113453,6.038973,56661,484.0,51,0,0,,,,,,,,110.585,0.425,6.629,117.64,25
GM0090,2024,Smallingerland,Fryslân,126.15,53.113453,6.038973,56661,484.0,63,0,0,,,,,,,,110.585,0.425,6.629,117.64,25
GM0093,2015,Terschelling,Fryslân,86.36,53.398273,5.329353,4898,56.0,0,0,0,10.44,7.26,13.12,84.27,1016.05,831.1,1937.6,78.006,0.0,0.0,78.006,26
GM0093,2016,Terschelling,Fryslân,86.36,53.398273,5.329353,4898,56.0,0,0,0,10.43,7.09,13.31,85.26,1015.27,705.8,2041.5,78.006,0.0,0.0,78.006,26
GM0093,2017,Terschelling,Fryslân,86.36,53.398273,5.329353,4898,56.0,0,0,0,10.51,7.13,13.34,83.73,1015.0,912.4,1878.9,78.006,0.0,0.0,78.006,26
GM0093,2018,Terschelling,Fryslân,86.36,53.398273,5.329353,4898,56.0,0,0,0,10.5,7.21,13.53,84.16,1015.04,571.6,2114.9,78.006,0.0,0.0,78.006,26
GM0093,2019,Terschelling,Fryslân,86.36,53.398273,5.329353,4898,56.0,0,0,0,10.73,7.4,13.6,83.55,1013.51,802.5,1965.9,78.006,0.0,0.0,78.006,26
GM0093,2020,Terschelling,Fryslân,86.36,53.398273,5.329353,4898,56.0,0,0,0,10.95,7.44,13.89,83.66,1014.05,852.9,2003.5,78.006,0.0,0.0,78.006,26
GM0093,2021,Terschelling,Fryslân,86.36,53.398273,5.329353,4898,56.0,0,0,0,9.94,6.89,12.58,86.61,1015.23,847.5,1809.3,78.006,0.0,0.0,78.006,26
GM0093,2022,Terschelling,Fryslân,86.36,53.398273,5.329353,4898,56.0,7,0,0,11.08,7.61,14.09,82.82,1016.24,854.4,2296.9,78.006,0.0,0.0,78.006,26
GM0093,2023,Terschelling,Fryslân,86.36,53.398273,5.329353,4898,56.0,5,0,0,11.19,8.04,13.93,83.83,1013.12,1097.1,2012.6,78.006,0.0,0.0,78.006,26
GM0093,2024,Terschelling,Fryslân,86.36,53.398273,5.329353,4898,56.0,7,0,0,11.42,8.28,14.08,84.69,1013.48,926.1,1836.3,78.006,0.0,0.0,78.006,26
GM0096,2015,Vlieland,,42.95,53.258558,4.974548,1255,30.0,0,0,0,10.16,7.63,12.6,82.89,1016.4,0.0,0.0,22.494,0.305,0.0,22.799,36
GM0096,2016,Vlieland,,42.95,53.258558,4.974548,1255,30.0,0,0,0,10.87,8.14,13.52,83.03,1015.24,0.0,0.0,22.494,0.305,0.0,22.799,36
GM0096,2017,Vlieland,,42.95,53.258558,4.974548,1255,30.0,0,0,0,10.93,8.3,13.53,81.54,1015.0,0.0,0.0,22.494,0.305,0.0,22.799,36
GM0096,2018,Vlieland,,42.95,53.258558,4.974548,1255,30.0,0,0,0,10.8,8.01,13.65,82.47,1014.92,0.0,0.0,22.494,0.305,0.0,22.799,36
GM0096,2019,Vlieland,,42.95,53.258558,4.974548,1255,30.0,0,0,0,11.17,8.39,13.91,81.56,1013.45,0.0,0.0,22.494,0.305,0.0,22.799,36
GM0096,2020,Vlieland,,42.95,53.258558,4.974548,1255,30.0,0,0,0,11.42,8.72,14.1,81.14,1014.02,0.0,0.0,22.494,0.305,0.0,22.799,36
GM0096,2021,Vlieland,,42.95,53.258558,4.974548,1255,30.0,0,0,0,10.47,7.89,13.02,82.73,1015.38,0.0,0.0,22.494,0.305,0.0,22.799,36
GM0096,2022,Vlieland,,42.95,53.258558,4.974548,1255,30.0,1,0,0,11.62,8.78,14.42,79.34,1016.26,0.0,0.0,22.494,0.305,0.0,22.799,36
